slice_id,short_text,full_text
58013,"Introducing Ruffles Hot Sauc’d, your favorite Ruffles potato chips topped with an exciting, sauce-inspired layer for a multi-textured way to spice up your day and awaken your taste buds.","Ruffles Hot Sauc’d are crunchy ridged potato chips generously drizzled with a crispy coating with the epic flavor of your favorite bold sauces in every craveable bite. Available in varieties like Spicy Buffalo, Nashville Hot Honey, and Sriracha."
63356,"Introducing Smartfood Air Pops, a new line of air-popped snacks that gives you an even more fun way to enjoy the poppable nature of popcorn.","Smartfood Air Pops are bite-size, crispy snacks made with Smartfood popcorn transformed into a diamond-shaped, pillowy puff. These tasty bites have an open, airy middle which allows for delicious seasoning on the inside and out, so you get double the amazing cheesy flavor in every bite. Pop a handful of Air Pops anytime for a more fun snacking experience that won’t weigh you down."
65921,"Introducing Cheetos Puzzles, the classic Cheetos you love in a fun, new form that will take your family’s fun and games to a tasty new level.","**_Cheetos Puzzles_** are thin and crispy Cheetos in puzzle-piece shapes ready to build into your next masterpiece. Seasoned with family favorites such as Cheddar or Flaming hot, they are the playfully cheesy snack that is perfect for mischievous fun for the whole family. "
47674,"Introducing new Red Rock Deli Waffle Potato Thins, a blend of premium quality potatoes, gourmet cheeses and fresh herbs pressed into a waffle iron for a distinctive crunch.","Their crispy waffle texture enriches the flavor experience, making them an inviting evening snack to savor.
"
53087,"Introducing Doritos Insiders: All the flavor inside, with none of the mess outside!","You’ll experience bold Doritos flavor in a whole new way... With every bite, you will enjoy the flavor packed inside the chip. No more need to stop texting, typing, gaming, surfing, or doing whatever you’re doing. 

You keep your focus – with nothing to clean up - because all the bold flavor you love is now inside the chip, not on your fingers. "
57998,"Introducing Ruffles Crunch Bites, a collision of your favorite salty snacks in one crunchy bite-sized form for a multi-textured way to crunch the day away.","Each Ruffles Crunch Bite is made from crunchy visible pieces of Ruffles potato chips clustered together with a variety of pretzels, nuts and other salty elements, all in one munchable bite-sized snack and seasoned with craveable flavors. Available in a variety of craveable flavors like Cheddar, Spicy Buffalo, and Jalapeno Ranch."
45563,"Introducing Cheetos Rodz, a cheesy snack that’s fun to eat and easy to munch, anywhere and everywhere.","Cheetos Rodz are extra-long, crunchy Cheetos seasoned with classic cheesy flavors such as Original Cheetos and Cheddar Jalapeno. And because they’re packaged in a single-serve, on-the-go sleeve, there’s less mess and even more Cheetos fun. 
"
58008,"Introducing Lay’s Flavor Crisps, potato crisps with flavorful ingredients blended and baked right into every bite for a special snack you can unwind with at the end of the day.","Each Lay’s Flavor Crisp is perfectly balanced with engaging herbs, spices and other flavorful ingredients blended into each light and airy crisp. Delectably crispy and delicately sophisticated, they’re perfect for enjoying on their own or pairing with your favorite cheese, spread or dip. Available in Sea Salt & Cracked Pepper, Spinach & Artichoke, and Garlic & Herb."
58003,"Introducing Cheetos Popcorn Bites, delectable cheesy popcorn clusters with craveable Cheetos flavor for a supremely snackable way to transition into the evening.","Each Cheetos Popcorn Bite is made from a handful of cheesy Cheetos popcorn bits clustered into thin bite-sized pieces and dusted in your favorite Cheetos flavors. With varieties like Cheddar, White Cheddar, and Flamin’ Hot, they pack a rich cheesy punch in each delicious bite."
58018,"Introducing Doritos Jerky Chips, your favorite bold Doritos chip now amped up with protein to fuel you.","Doritos Jerky Chips are crunchy Doritos chips made with bits of jerky cooked into the chip and seasoned with intense Doritos flavors. They’re the epically crunchy and boldly flavored snack that’s big on the flavor and protein you need to keep you going. Available in flavors like Bacon Nacho, Spicy Sweet Chili Beef and Spicy Hot Wings."
58023,"Introducing Cheetos Fireworks, the extreme stimulating puffs that excite the senses with invigorating, crackling bursts of flavor.","Cheetos Fireworks are fun-to-eat, bite-sized puffs lightly sprinkled with flavorful crackling seasoning that you can hear and feel in every bite. Available in varieties like Flamin’ Hot with Poppin’ Limon, Cheddar with Poppin’ Jalapeno, and Mango with Poppin’ Chilis."
59369,"Introducing Cheetos Asteroids & Cheese Bites, a flavor-packed snack mix that not only helps you take a quick break—but also powers you up to win the day.","Introducing Cheetos Asteroids & Cheese Bites, a flavor-packed snack mix that not only helps you take a quick break—but also powers you up to win the day.
 
This great tasting mix includes Cheetos Asteroids and crunchified 100% real cheddar cheese, for super cheesy flavor to fuel you with every bite.
 
They come in your favorite flavors, including:
- Original Cheetos Asteroids with Cheddar Cheese Bites
- Flamin’ Hot Cheetos Asteroids with Pepper Jack Cheese Bites
 
Available in convenient single-serve bags. All other Cheetos products will still be available.
"
45933,"Introducing Lay’s Cheesy Potato Bites, a real-food snack with an indulgent grown-up taste that’s perfect for serving at any get together.","Each two-bite Lay’s Cheesy Potato Bite is a small potato and real cheese round that is seasoned with deliciously sophisticated flavors. Delectably crispy on the outside and melt in your mouth on the inside, they’re the golden bites that you’ll love to share with friends. Available in varieties like Cheddar & Herb, Parmesan & Garlic, and Smoked Cheddar & Onion."
45573,"Introducing Cheetos Jalapeno Slices, the classic Cheetos puff you love in a fun new, poppable shape and in delicious flavors.","Cheetos Jalapeno Slices are Cheetos puffs with a light and crunchy Cheetos texture shaped just like sliced peppers and come in bold flavors like mild Jalapeno Cheddar and Flamin’ Hot. They bring a little fun and fire to your favorite munchable snack. 
"
45943,"Introducing Ruffles Loaded Potato Bites, a fun and snackable version of a classic comfort food that will fill you up and keep you going.","Each Ruffles Loaded Potato Bites is a hearty, crunchy and ridged potato snack that delivers big, satiating flavor you’ll crave. Available in epic varieties like Sour Cream, Sharp Cheddar & Onion; or Smoky Bacon, Sharp Cheddar & Chive, they’re the perfect snack to satisfy your taste for big flavor and a hearty crunch.
"
59974,"Introducing Munchies Fuel Mix, a satisfying snack mix that fills you up with an exciting crunch and blast of flavor.","Introducing Munchies Fuel Mix, a satisfying snack mix that fills you up with an exciting crunch and blast of flavor.

Conquer busy days with this crunchy mix, featuring Mini Lay’s Poppables, Rold Gold Mini Pretzels, and Matador beef jerky bites. Each handful contains plenty of textures for an engaging snacking experience, and each bag is blasted with exciting flavors for a snack that’s sure to pull you out of the mid-day slump.

Try all the great-tasting options, including:

- Flamin’ Hot
- BBQ
- Cheese

Available in convenient single-serve bags.
"
46024,"Introducing Tostitos Hearty Dippers, the thick and tasty little tortilla chip that’s perfectly designed for heartier dips.","Tostitos Hearty Dippers are the bite-sized, crunchy, curved white corn tortilla chips that are deliciously seasoned with the perfect amount of Sea Salt, a Hint of Lime, or a Hint of Jalapeño. They’re sturdy enough to stand up to the thickest dips - like guacamole, black bean, and hummus – and designed with the right amount of flavor and the ideal shape to get the perfect amount of dip every time."
45568,"Introducing Cheetos Crunch Pop, the ultimate combination of two snacking favorites for a special treat to share with family or friends.","Cheetos Crunch Pop is popcorn paired with mini, crunchy Cheetos – all seasoned with our classic cheesy flavors like Original Cheetos or Cheddar Jalapeno. Just heat them in the microwave for a bold new snack that brings cheesy crunch and mischievous fun to ordinary popcorn. 
"
45707,"Introducing Ruffles Flavor Shots – intensely-flavored, poppable snacks that excite your mouth and wake up your senses.","Ruffles Flavor Shots delivers a burst of intensity with every bite, with flavor varieties like Spicy Buffalo Ranch or Tangy Limón. Ruffles Flavor Shots come in a convenient ready-to-go format so you can get your quick flavor boost and get going with your day."
45948,"Introducing Ruffles ReMix, a delicious protein cluster made with cheese, nuts and seeds all combined with bits of Ruffles to give you that fulfilling crunch with the energy you need take on the next challenge.","We’ve combined bits of Ruffles, cheese, nuts and seeds to give you that fulfilling crunch you love from Ruffles with the energy you need take on the next challenge. All these great ingredients combine to give you 5 grams of protein in a portable pack that can be tossed in your bag, kept on your desk, or eaten on the go whenever you need a protein boost."
45938,"Introducing new Lay’s Poppables Made with Real Vegetables, the colorful and wholesome way to snack through your day.","Lay’s Poppables Made with Real Vegetables are light, airy and perfectly popped bites made from vibrant vegetables like spinach, tomato, and carrot – then lightly seasoned with delicious flavors like Sea Salt, Cheddar, and Parmesan Herb. Because these crispy, colorful chips are popped with veggie goodness, you can snack away without the guilt."
65899,"Introducing Ruffles Flavor Shots Ridges, bite-sized, ridge-cut potato chips that are extra thick, extra crunchy and extra flavorful.","Introducing Ruffles Flavor Shots Ridges, bite-sized, ridge-cut potato chips that are extra thick, extra crunchy and extra flavorful.

The crunch and intense flavors each have a way of helping me shift gears. We’ve taken your favorite part of Ruffles – the ridges – and cut them into individual thick ridge bites and cooked them a little extra for a maximized crunchy taste experience. Available in a variety of hearty flavors, you’ll enjoy a teeth-rattling crunch with every delicious bite!

Varieties include:

•Loaded Baked Potato

•Smoky BBQ

•Hot Wings"
